_step,epoch,action_dit_loss,learning_rate/base,learning_rate/pi05_model.paligemma_with_expert.gemma_expert,timing/data,timing/model,rtc_postfix_count,_runtime,_timestamp
1210,0.14,0.008656150661408901,1.2100000000000001e-05,6.05e-05,0.00022381500002666144,0.7000101309999991,116,898.817376652,1786042942.7255743
1220,0.14,0.006263313814997673,1.22e-05,6.1e-05,0.0002520479999930103,0.7348101710001629,107,906.012576118,1786042950.1540403
1230,0.14,0.003224211046472192,1.23e-05,6.15e-05,0.0002365530001497973,0.7206509459999779,109,913.311243756,1786042957.3492694
1240,0.14,0.0028603090904653072,1.2400000000000002e-05,6.2e-05,0.00022097800001574797,0.7187064290001217,111,921.440174863,1786042964.647825
1250,0.14,0.001273331930860877,1.25e-05,6.25e-05,0.00024472199993397226,0.8849024149999423,120,928.58331978,1786042972.776833
1260,0.14,0.006073359400033951,1.2600000000000001e-05,6.3e-05,0.00020227100003467058,0.6961396210001567,113,935.799429959,1786042979.9199364
1270,0.14,0.008948271162807941,1.27e-05,6.35e-05,0.00022418499997911567,0.892847286999995,108,942.990246195,1786042987.136051
1280,0.14,0.001287421677261591,1.2800000000000001e-05,6.400000000000001e-05,0.00020975600000383565,0.7463062260001152,114,950.848854133,1786042994.3268456
1290,0.15,0.0043874988332390785,1.2900000000000002e-05,6.450000000000001e-05,0.00020958600021003804,0.68343291400015,117,957.898845005,1786043002.185484
1300,0.15,0.001206188346259296,1.3000000000000001e-05,6.500000000000001e-05,0.00021865300004719757,0.7291629639998973,108,964.972603577,1786043009.2354953
1310,0.15,0.005787528585642576,1.3100000000000002e-05,6.55e-05,0.0002245109999421402,0.7294391149998773,114,972.213127021,1786043016.3091123
1320,0.15,0.001625856850296259,1.3200000000000002e-05,6.6e-05,0.00020738599982905725,0.7123750869998275,109,980.020745413,1786043023.5496485
1330,0.15,0.0036060179118067026,1.3300000000000001e-05,6.65e-05,0.00020255699996596377,0.7192983189997904,104,987.364512776,1786043031.3574376
1340,0.15,0.010965947061777115,1.3400000000000002e-05,6.7e-05,0.0002191290000155277,0.6951663950001148,108,994.435861485,1786043038.7011964
1350,0.15,0.0017346790991723537,1.3500000000000001e-05,6.750000000000001e-05,0.00021888500009481504,0.6792315479999615,111,1001.679931969,1786043045.7724316
1360,0.15,0.003565311897546053,1.3600000000000002e-05,6.800000000000001e-05,0.00022138700001050893,0.6775327400000606,111,1009.129103418,1786043053.016569
1370,0.15,0.002385098487138748,1.3700000000000003e-05,6.850000000000001e-05,0.00022725700000592042,0.6816137860000708,109,1016.204293001,1786043060.4656553
1380,0.16,0.005441366694867611,1.38e-05,6.9e-05,0.00020605000008799834,0.7162782759999118,114,1023.219467651,1786043067.54093
1390,0.16,0.010470397770404816,1.39e-05,6.95e-05,0.0002702560000216181,0.6994541240001126,108,1030.520864519,1786043074.5561097
1400,0.16,0.004122392740100622,1.4e-05,7e-05,0.0005159400000138703,0.7133562360002088,114,1038.189134481,1786043081.8575342
1410,0.16,0.0009115033317357302,1.41e-05,7.05e-05,0.0002177430001211178,0.6864649289998397,104,1045.24133607,1786043089.5257542
1420,0.16,0.002089429646730423,1.4200000000000001e-05,7.1e-05,0.00023698400013927312,0.6980549300001258,110,1052.287612783,1786043096.577977
1430,0.16,0.0032005019020289183,1.43e-05,7.15e-05,0.0002286510000431008,0.697902577999912,115,1059.511498931,1786043103.624143
1440,0.16,0.005912870168685913,1.4400000000000001e-05,7.2e-05,0.00020067700006620726,0.735404631000165,108,1067.156675949,1786043110.8480046
1450,0.16,0.0010188511805608869,1.45e-05,7.25e-05,0.00021674499998880492,0.6815066420001585,103,1074.346252853,1786043118.4933722
1460,0.16,0.02810555510222912,1.46e-05,7.3e-05,0.00021521600001506158,0.7142324559999906,113,1081.35678658,1786043125.6828582
1470,0.17,0.002023725537583232,1.4700000000000002e-05,7.35e-05,0.00020177300007162557,0.7344320490001337,113,1088.747829521,1786043132.693245
1480,0.17,0.00849559810012579,1.48e-05,7.4e-05,0.00023148900004343886,0.9378373900001407,111,1096.597890612,1786043140.0844908
1490,0.17,0.00707930838689208,1.4900000000000001e-05,7.450000000000001e-05,0.0002215160000105243,0.7263582220000444,103,1103.726581786,1786043147.9345503
1500,0.17,0.005040148738771677,1.5000000000000002e-05,7.500000000000001e-05,0.0003930119999040471,0.703865751999956,107,1110.835905595,1786043155.0632432
1510,0.17,0.010122694075107574,1.5100000000000001e-05,7.55e-05,0.00023155500002758345,0.6975966140000764,116,1118.109898328,1786043162.1724088
1520,0.17,0.009879246354103088,1.5200000000000002e-05,7.6e-05,0.00019593599995459954,0.6949466840001151,109,1125.67731402,1786043169.4465964
1530,0.17,0.005493404809385538,1.5300000000000003e-05,7.65e-05,0.00031934399999045127,0.676771945000155,112,1132.704828723,1786043177.0139363
